time,open,high,low,close,volume
2025-05-22,89.61,89.99,88.46,89.38,6376715
2025-05-23,89.3,90.14,88.76,89.61,4456672
2025-05-26,89.3,90.14,88.0,89.76,4039601
2025-05-27,89.84,91.37,89.84,91.06,5512819
2025-05-28,91.21,91.37,89.91,90.6,3948303
2025-05-29,91.06,91.06,89.61,89.61,2945136
2025-05-30,90.29,90.45,89.15,89.15,4051804
2025-06-02,89.15,89.61,88.46,88.84,2932470
2025-06-03,89.3,90.29,88.99,89.84,3410333
2025-06-04,90.29,90.45,89.15,89.61,2883362
2025-06-05,89.61,89.76,89.15,89.38,2311499
2025-06-06,89.38,89.38,88.0,88.0,5400395
2025-06-09,88.38,89.45,88.0,88.92,3064841
2025-06-10,89.53,89.84,88.53,88.53,3372461
2025-06-11,88.84,90.45,88.84,90.22,5756496
2025-06-12,90.76,90.84,89.91,90.3,4162497
2025-06-13,89.53,89.91,88.68,89.06,6182491
2025-06-16,88.83,92.46,88.75,91.84,8087673
2025-06-17,91.84,92.07,91.22,91.69,4613155
2025-06-18,91.69,92.23,89.83,90.3,6571082
2025-06-19,90.3,90.37,89.29,89.53,5416264
2025-06-20,89.6,90.22,89.37,89.6,4347313
2025-06-23,89.14,89.76,88.37,89.45,4602132
2025-06-24,89.76,90.3,89.76,89.91,4281302
2025-06-25,90.3,92.15,90.3,90.37,6014965
2025-06-26,91.07,91.3,89.99,90.3,4141284
2025-06-27,90.3,91.3,90.22,90.53,5273001
2025-06-30,90.99,92.23,90.76,91.22,6879228
2025-07-01,91.84,92.23,91.22,91.69,4621512
2025-07-02,91.45,91.61,90.76,91.53,3672455
2025-07-03,91.45,92.46,90.91,91.07,6321182
2025-07-04,91.45,95.24,91.38,94.54,12854266
2025-07-07,95.16,96.24,94.93,95.55,6403004
2025-07-08,95.78,97.01,95.7,96.09,8085628
2025-07-09,96.32,96.39,94.39,94.77,12226586
2025-07-10,95.55,96.7,95.31,95.62,5193049
2025-07-11,96.47,98.79,96.16,97.71,10762062
2025-07-14,98.17,98.71,96.47,98.09,6000215
2025-07-15,97.71,98.63,97.24,97.24,5621345
2025-07-16,97.78,98.01,96.55,97.47,5077050
2025-07-17,97.78,99.64,97.24,98.01,8355437
2025-07-18,98.79,98.79,97.24,97.24,6512306
2025-07-21,99.75,99.75,97.89,97.89,7612979
2025-07-22,97.89,99.58,96.47,99.49,6912737
2025-07-23,99.67,100.11,98.78,99.22,4825624
2025-07-24,99.4,99.49,98.33,98.6,6455334
2025-07-25,98.6,98.96,98.07,98.25,5163242
2025-07-28,98.33,99.04,98.07,98.78,7635424
2025-07-29,98.78,99.04,94.07,94.07,16133144
2025-07-30,94.96,95.85,93.45,94.16,7517104
2025-07-31,94.16,94.87,92.12,92.3,8989001
2025-08-01,92.03,95.32,90.08,94.96,10935794
2025-08-04,94.52,94.61,93.01,94.61,4637013
2025-08-05,94.96,96.47,93.19,93.9,11433392
2025-08-06,94.07,94.25,92.74,93.1,11864447
2025-08-07,93.72,95.32,93.1,94.25,9589089
2025-08-08,94.52,95.32,93.01,93.72,9207301
2025-08-11,93.99,97.18,93.45,94.43,10309903
2025-08-12,95.32,96.03,94.61,95.41,11035855
2025-08-13,95.49,95.67,93.1,93.28,21892517
2025-08-14,93.9,93.9,92.03,92.12,17948903
2025-08-15,92.12,93.01,89.9,89.99,18697086
2025-08-18,89.99,91.41,88.75,89.19,11450410
2025-08-19,89.28,90.08,88.75,89.02,9198729
2025-08-20,88.84,89.02,86.53,86.71,20040979
2025-08-21,86.71,91.32,86.71,90.26,12663739
2025-08-22,90.17,90.17,87.68,87.86,7246765
2025-08-25,90.52,90.52,87.68,87.68,6761832
2025-08-26,87.68,88.75,86.89,88.75,5833293
2025-08-27,89.99,93.28,89.81,93.19,19471753
2025-08-28,93.28,93.28,91.23,92.74,6299351
2025-08-29,93.19,93.19,90.17,90.17,11117268
2025-09-03,90.52,91.68,88.75,91.59,9772872
2025-09-04,91.68,93.63,91.59,93.19,11059038
2025-09-05,93.36,93.63,91.77,91.77,8835511
2025-09-08,91.41,92.21,90.44,90.44,10622551
2025-09-09,90.52,91.41,89.64,90.61,6478341
2025-09-10,90.61,91.32,89.73,89.81,5512255
2025-09-11,89.81,91.32,89.19,90.52,7433193
2025-09-12,90.52,91.32,89.73,90.17,7498375
2025-09-15,90.44,91.86,90.08,90.44,14167008
2025-09-16,91.15,93.01,90.52,91.86,17583475
2025-09-17,92.3,95.67,92.3,93.63,20083197
2025-09-18,94.07,94.34,91.41,91.41,8227572
2025-09-19,92.12,92.12,89.19,91.41,23557247
2025-09-22,90.97,91.15,88.39,88.48,16326968
2025-09-23,88.75,88.75,86.53,86.97,18365378
2025-09-24,87.06,88.31,86.44,88.31,7459032
2025-09-25,88.31,88.31,86.89,86.97,8659161
2025-09-26,87.15,88.13,86.44,86.53,8115898
2025-09-29,86.8,86.8,84.76,84.76,10488698
2025-09-30,84.76,85.02,82.36,82.54,12086512
2025-10-01,82.71,83.87,81.12,82.89,7440061
2025-10-02,82.45,82.89,81.65,81.74,7990319
2025-10-03,81.83,83.42,81.74,82.89,7702876
2025-10-06,83.69,85.11,82.98,84.76,6617245
2025-10-07,85.2,85.47,84.49,84.76,6023461
2025-10-08,84.76,86.0,83.87,83.87,5157890
2025-10-09,84.31,84.31,82.98,83.6,5741465
2025-10-10,83.6,85.64,83.25,85.29,8616495
2025-10-13,84.22,84.22,83.16,83.42,7953799
2025-10-14,83.51,83.87,82.0,82.0,12713796
2025-10-15,82.18,82.63,79.43,79.52,18824893
2025-10-16,79.7,81.21,79.52,79.7,7973952
2025-10-17,79.96,81.21,78.19,78.19,8423276
2025-10-20,78.37,81.47,77.21,77.21,14633215
2025-10-21,78.99,82.54,78.54,82.54,19571735
2025-10-22,84.49,87.86,84.31,86.09,18365820
2025-10-23,86.26,86.35,83.42,84.31,6673501
2025-10-24,84.31,86.71,84.05,86.71,13797916
2025-10-27,87.86,88.48,85.47,86.97,12946379
2025-10-28,87.51,90.7,87.51,90.7,20966367
2025-10-29,90.88,91.59,89.73,90.26,9344715
2025-10-30,90.61,91.86,90.17,91.15,9758541
2025-10-31,91.06,92.21,89.64,92.21,14854263
2025-11-03,92.12,94.34,91.86,93.19,21030571
2025-11-04,92.39,92.92,90.26,91.68,10662165
2025-11-05,90.35,90.52,88.39,89.55,11784047
2025-11-06,89.55,90.52,88.22,88.93,6781958
2025-11-07,88.31,90.35,88.31,89.64,5881390
2025-11-10,89.81,89.81,85.38,85.38,10115824
2025-11-11,85.91,86.89,85.29,85.29,6649987
2025-11-12,85.64,89.28,85.64,89.28,6649911
2025-11-13,89.28,89.37,87.6,87.77,4774081
2025-11-14,87.77,89.55,87.15,88.75,4713954
2025-11-17,89.28,90.35,89.28,89.64,5607991
2025-11-18,89.64,89.73,87.68,88.75,6522460
2025-11-19,88.31,88.31,86.97,86.97,5191305
2025-11-20,87.51,88.48,87.06,87.86,4608598
2025-11-21,86.97,89.81,86.8,89.46,7956420
2025-11-24,89.37,89.73,88.39,88.93,5079550
2025-11-25,88.48,89.02,87.86,88.48,4510630
2025-11-26,88.57,88.93,87.77,87.86,5843562
2025-11-27,88.04,88.57,87.06,88.31,4796150
2025-11-28,87.95,88.22,86.18,86.18,6239769
2025-12-01,86.89,87.61,86.18,86.62,3145177
2025-12-02,86.8,87.25,85.55,86.62,5590644
